,"{SIM_ID=""1""}","{SIM_ID=""2""}","{SIM_ID=""3""}","{SIM_ID=""4""}","{SIM_ID=""5""}"
2023-03-23 19:00:00,0.001752583,0.0282999,0.010264995,0.051591425,0.016740663
2023-03-23 19:00:01,0.008705552,0.028340273,0.016978504,0.051844503,0.016764673
2023-03-23 19:00:02,0.002650031,0.029846842,0.010435444,0.051974355,0.016672581
2023-03-23 19:00:03,0.003157336,0.029135203,0.010327737,0.052039932,0.021507405
2023-03-23 19:00:04,0.001628757,0.031373326,0.010341494,0.054894972,0.01692906
2023-03-23 19:00:05,0.001762207,0.028073652,0.011402318,0.051652537,0.022223625
2023-03-23 19:00:06,0.013230439,0.028175236,0.012380525,0.051871884,0.017387529
2023-03-23 19:00:07,0.001472303,0.028216534,0.010071543,0.051861788,0.020846369
2023-03-23 19:00:08,0.007864078,0.028064414,0.015471284,0.051863767,0.020379688
2023-03-23 19:00:09,0.007864078,0.036166718,0.013822733,0.052921584,0.017123425
2023-03-23 19:00:10,0.001626182,0.028064651,0.010361811,0.051541258,0.016897577
2023-03-23 19:00:11,0.00166215,0.027778545,0.010072429,0.051815933,0.016845045
2023-03-23 19:00:12,0.003769766,0.028175706,0.010996798,0.05176953,0.016808436
2023-03-23 19:00:13,0.001535387,0.027924356,0.011322769,0.051576419,0.01664585
2023-03-23 19:00:14,0.001815911,0.028793804,0.009779264,0.051803595,0.016845561
2023-03-23 19:00:15,0.006516441,0.028054639,0.010304475,0.051723393,0.016803609
2023-03-23 19:00:16,0.001875782,0.027939726,0.010067626,0.051428836,0.017760988
2023-03-23 19:00:17,0.003349366,0.027982369,0.013672707,0.052387619,0.017437382
2023-03-23 19:00:18,0.007991608,0.030378753,0.015208565,0.051811716,0.016793428
2023-03-23 19:00:19,0.004281598,0.028315321,0.015495326,0.05161209,0.01742132
2023-03-23 19:00:20,0.001687682,0.02792052,0.010123736,0.055300035,0.02166134
2023-03-23 19:00:21,0.014083247,0.02792121,0.01031475,0.051796062,0.016892757
2023-03-23 19:00:22,0.006900211,0.027955784,0.030741409,0.051630555,0.016730893
2023-03-23 19:00:23,0.013291517,0.027770391,0.010185474,0.051858203,0.016955247
2023-03-23 19:00:24,0.004827893,0.027969942,0.022078476,0.052248092,0.016732255
2023-03-23 19:00:25,0.005302068,0.027908507,0.010874241,0.051576578,0.016918258
2023-03-23 19:00:26,0.002044756,0.028256491,0.014322673,0.051576578,0.016997598
2023-03-23 19:00:27,0.001814936,0.028083856,0.010789588,0.05201,0.016843532
2023-03-23 19:00:28,0.005856594,0.027738365,0.012951474,0.051571066,0.016859713
2023-03-23 19:00:29,0.002636783,0.028063342,0.010170942,0.05155845,0.016721215
2023-03-23 19:00:30,0.001674373,0.028155181,0.030118769,0.052625073,0.021704468
2023-03-23 19:00:31,0.001499635,0.028913933,0.010028727,0.05153294,0.01686275
2023-03-23 19:00:32,0.001588121,0.028986209,0.010571643,0.051605828,0.021232226
2023-03-23 19:00:33,0.001512521,0.029426697,0.010211709,0.051672675,0.016678368
2023-03-23 19:00:34,0.00203062,0.028559207,0.01009701,0.051408254,0.016915483
2023-03-23 19:00:35,0.001724026,0.028395418,0.010745476,0.051538747,0.01764712
2023-03-23 19:00:36,0.0089814,0.029826988,0.010446209,0.051543538,0.018712659
2023-03-23 19:00:37,0.004704427,0.027895503,0.01012451,0.051617691,0.017009581
2023-03-23 19:00:38,0.003864228,0.028542884,0.010037198,0.052183141,0.016773076
2023-03-23 19:00:39,0.001644723,0.029877005,0.010373337,0.051785476,0.017001269
2023-03-23 19:00:40,0.001601329,0.027754068,0.010054825,0.051756019,0.017142001
2023-03-23 19:00:41,0.00214483,0.027941619,0.009980142,0.054770454,0.016831678
2023-03-23 19:00:42,0.001764046,0.029242987,0.009975583,0.054289541,0.016605935
2023-03-23 19:00:43,0.001817025,0.02779054,0.009946066,0.052611176,0.016884574
2023-03-23 19:00:44,0.002982108,0.029411757,0.015866953,0.051617413,0.017283808
2023-03-23 19:00:45,0.001573852,0.028319703,0.010769136,0.052205598,0.016728987
2023-03-23 19:00:46,0.001574553,0.028161192,0.014893654,0.051608336,0.016793719
2023-03-23 19:00:47,0.006259063,0.028249113,0.010130389,0.053744206,0.016821207
2023-03-23 19:00:48,0.002148031,0.028022368,0.011262791,0.051363793,0.019008045
2023-03-23 19:00:49,0.001619826,0.02808367,0.010267063,0.051747884,0.016867365
2023-03-23 19:00:50,0.001595385,0.027812128,0.014177478,0.051816416,0.016944566
2023-03-23 19:00:51,0.004607162,0.028079567,0.01074803,0.05362665,0.016580183
2023-03-23 19:00:52,0.001698983,0.028934466,0.010229134,0.052656286,0.016743729
2023-03-23 19:00:53,0.007071611,0.027940077,0.009850954,0.051738483,0.016952053
2023-03-23 19:00:54,0.001556471,0.027910916,0.024290006,0.051587688,0.0170691
2023-03-23 19:00:55,0.001569559,0.027953394,0.011561936,0.051266811,0.016968393
2023-03-23 19:00:56,0.003857267,0.02795279,0.012646948,0.05194456,0.016944807
2023-03-23 19:00:57,0.001854791,0.028185163,0.011525154,0.052139151,0.016971005
2023-03-23 19:00:58,0.002295795,0.028127642,0.010032081,0.051747158,0.017124807
2023-03-23 19:00:59,0.003810772,0.028280655,0.020043074,0.053815889,0.017156799
2023-03-23 19:01:00,0.002969433,0.028064916,0.010208466,0.051974612,0.016768444
2023-03-23 19:01:01,0.001879147,0.027895975,0.010389639,0.051805792,0.016912808
2023-03-23 19:01:02,0.002215676,0.027822562,0.011997282,0.051588415,0.016814364
2023-03-23 19:01:03,0.00245521,0.028304791,0.010017968,0.053425823,0.016824043
2023-03-23 19:01:04,0.002162704,0.027918665,0.010301361,0.051661914,0.016968254
2023-03-23 19:01:05,0.010407797,0.028109063,0.010498177,0.051615725,0.017043264
2023-03-23 19:01:06,0.001927548,0.027952169,0.010043297,0.05138014,0.016902914
2023-03-23 19:01:07,0.003897815,0.027958549,0.014150607,0.05203554,0.016741154
2023-03-23 19:01:08,0.005694279,0.028585741,0.010936072,0.051669917,0.016611925
2023-03-23 19:01:09,0.00191014,0.029071289,0.010358931,0.052069584,0.017833772
2023-03-23 19:01:10,0.001552324,0.02817345,0.010475602,0.05163136,0.016910442
2023-03-23 19:01:11,0.002346298,0.027909503,0.015362144,0.05157166,0.022056598
2023-03-23 19:01:12,0.00729438,0.028043891,0.010129337,0.053133047,0.016717289
2023-03-23 19:01:13,0.001897254,0.02819785,0.010201993,0.05523547,0.017065654
2023-03-23 19:01:14,0.002534749,0.028102676,0.01023683,0.052643033,0.018500425
2023-03-23 19:01:15,0.00427901,0.028212806,0.009988124,0.051617681,0.019785857
2023-03-23 19:01:16,0.002202558,0.028150401,0.010315414,0.051484229,0.017179521
2023-03-23 19:01:17,0.003032106,0.028228155,0.0099747,0.051276238,0.017805137
2023-03-23 19:01:18,0.004239444,0.028533066,0.010374861,0.05121546,0.018198586
2023-03-23 19:01:19,0.001540385,0.028058029,0.011303293,0.051741941,0.017318434
2023-03-23 19:01:20,0.001790887,0.027939366,0.010062935,0.051227433,0.01728831
2023-03-23 19:01:21,0.005230077,0.028165455,0.009974724,0.051240537,0.01691649
2023-03-23 19:01:22,0.006074255,0.02777966,0.010125767,0.051464974,0.016843786
