Timestamp,Latency us-east-1 wl1-mia-wlz-1,Latency us-east-1 mia-1a,Latency us-east-1 wl1-nyc-wlz-1,Latency us-east-1 nyc-1a,Latency wl1-mia-wlz-1 mia-1a,Latency wl1-nyc-wlz-1 nyc-1a
3,48.18571428571429,25.442857142857143,12.957142857142857,7.3428571428571425,61.971428571428575,6.457142857142857
9,52.25714285714286,27.714285714285715,16.157142857142855,7.785714285714286,69.0,7.8999999999999995
15,58.4,29.342857142857145,17.285714285714285,9.6,79.77142857142857,10.071428571428571
21,53.9625,28.15,15.0125,7.85,69.625,8.325
